Date,Open,High,Low,Close,Adj. Close,Volume
"Jul 15, 2021",84.45,84.85,83.4,83.7,81.25,30304299
"Jul 16, 2021",84,84.1,81.4,81.7,79.31,48457529
"Jul 19, 2021",81.4,81.6,79.6,80.15,77.81,28260629
"Jul 20, 2021",80,80.5,78.4,78.9,76.59,27131176
"Jul 22, 2021",80,81.35,79.7,80.2,77.86,25556770
"Jul 23, 2021",80.1,80.6,79,79.85,77.52,23717707
"Jul 26, 2021",79.8,80.2,79,79.75,77.42,21809569
"Jul 27, 2021",79.9,81.1,79.25,80,77.66,25418706
"Jul 28, 2021",80,80.15,76.9,78.05,75.77,30360309
"Jul 29, 2021",78.45,81.15,77.6,80.6,78.24,33487296
"Jul 30, 2021",80.6,81.5,79.8,80.3,77.95,23749505
"Aug 02, 2021",80.95,81.75,80.3,80.75,78.39,17536889
"Aug 03, 2021",80.9,83,80.55,82.65,80.23,38355785
"Aug 04, 2021",83.15,83.9,80.85,83.5,81.06,65116528
"Aug 05, 2021",83.7,83.7,80.8,82.45,80.04,47819469
"Aug 06, 2021",82.35,84.6,82.15,83.4,80.96,48295324
"Aug 09, 2021",85.25,85.4,80.6,81.15,78.78,56479849
"Aug 10, 2021",82,83.05,77.55,78.1,75.82,49698860
"Aug 11, 2021",78.5,81.1,77.5,80.65,78.29,40957244
"Aug 12, 2021",80.75,82,80.1,81.55,79.17,26238192
"Aug 13, 2021",81.5,81.9,79.8,80.95,78.58,16845526
"Aug 16, 2021",80.85,81.75,79.15,79.5,77.18,19778854
"Aug 17, 2021",79.3,79.7,76.85,78.05,75.77,26249389
"Aug 18, 2021",78.3,79.6,77.6,78.75,76.45,29876996
"Aug 20, 2021",77.3,78.25,73.6,74.15,71.98,37053960
"Aug 23, 2021",75.3,75.4,72.5,73.2,71.06,31136268
"Aug 24, 2021",73.35,75.65,73,75.5,73.29,25626609
"Aug 25, 2021",75.9,76.5,74.9,75.1,72.9,22570604
"Aug 26, 2021",75.1,75.65,73.95,74.1,71.93,16730240
"Aug 27, 2021",74,75.15,73.25,74.55,72.37,18449906
"Aug 30, 2021",74.95,77.15,74.75,76.95,74.7,21909937
"Aug 31, 2021",76.8,78.45,76,77.35,75.09,26501208
"Sep 01, 2021",77.2,78.8,76.8,78.35,76.06,19437409
"Sep 02, 2021",78.7,78.95,77.8,78.4,76.11,23249453
"Sep 03, 2021",78.55,80.3,78.25,79.2,76.88,24039114
"Sep 06, 2021",79.6,80.2,78.7,78.9,76.59,14905577
"Sep 07, 2021",79,79.25,76.7,78.1,75.82,16964984
"Sep 08, 2021",78,80.5,77.65,79.35,77.03,28788968
"Sep 09, 2021",79.3,79.75,78.75,79.15,76.84,11453820
"Sep 13, 2021",78.75,79,78,78.25,75.96,10280673
"Sep 14, 2021",78.7,79.05,78.1,78.65,76.35,12162777
"Sep 15, 2021",78.65,81.85,78.45,81.3,78.92,38935049
"Sep 16, 2021",81.25,86.55,80.4,85.9,83.39,83100665
"Sep 17, 2021",86.55,86.65,81.25,82.3,79.89,63908701
"Sep 20, 2021",81.4,82.15,78,78.25,75.96,30466537
"Sep 21, 2021",78.5,79.1,76.9,78.65,76.35,24543270
"Sep 22, 2021",79.1,80.15,78.55,79.7,77.37,20402969
"Sep 23, 2021",80.2,81.1,79.45,79.65,77.32,20391244
"Sep 24, 2021",80.05,80.2,77.7,77.85,75.57,23102595
"Sep 27, 2021",78.15,79.6,77.8,78,75.72,25777269
"Sep 28, 2021",78.4,79.7,78.2,79.45,77.13,22838831
"Sep 29, 2021",78.95,82,78.15,81.7,79.31,53912004
"Sep 30, 2021",81.65,83.7,81.25,81.75,79.36,37128256
"Oct 01, 2021",81.45,83.5,80,82.45,80.04,39414564
"Oct 04, 2021",82.95,84.7,82.75,84.35,81.88,37506487
"Oct 05, 2021",83.95,84.9,82.65,83.35,80.91,27059658
"Oct 06, 2021",83.7,85.8,82,82.3,79.89,37820587
"Oct 07, 2021",83.4,84.85,83.1,84,81.54,25229829
